,Chemical,Company,Room,Shelf,Amount of Jars/Containers,Amount,Unit,CAS #s,Hazard
X,nitrate A reagent droppers (unopened),becton dickinson ,534,C-2,2,100.0,g,64-19-7; 121-57-3,corrosive, health,
X,nitrate agar ,Carolina ,534,C1,1,400.0,g,,nonhazardous,
X,nitrate B,becton dickinson ,534,C-2,1,0.5,g,64-19-7,corrosive-health,
X,nitrate B reagent droppers (unopened),becton dickinson ,534,C-2,3,150.0,g,64-19-7,corrosive-health,
X,nitrate broth ,Carolina ,534,C1,1,400.0,g,,oxidizer, aquatic toxin,
X,nutrient gelatin ,becton dickinson ,534,C1,1,500.0,g,,nonhazardous,
,NYSM medium ,wards science ,534,fridge 1,1,500.0,ml,n/a ,,
,ocean water ,glass bottle ,534,fridge 4,1,500.0,ml,,,
,Oxalic Acid,Scholar Chemistry,412D,Carboxylic Acids,1,100.0,g,144-62-7,Acute oral and dermal toxicity, serious eye damage, acute aquatic hazard,
X,oxidase ,becton dickinson ,534,C-2,50,0.5,g,,nonhazardous,
X,oxidase reagent droppers (unopened),becton dickinson ,534,C-2,3,150.0,g,,nonhazardous,
,p-Dicholorobenzene,Flinn Scientific,412,412C,1,500.0,g,106-46-7,Flammable,
,p-Toluenesulfonyl chloride,TCI,412,412C,2,25.0,g,98-59-9,Flammable,
,p-Toluic Acid,Aldrich,412D,Carboxylic Acids,1,60.0,g,99-94-5,Skin sensitization, acute aquatic hazard,
,p-Toluidine,Sigma-Aldrich,412D,Organics,1,125.0,g,106-49-0,Acute oral, dermal, and inhalation toxicity, serious eye damage/eye irritation, skin sensitization, carcinogenicity,
,Pentane,Alfa Aesar,412,412C,1,1000.0,ml,109-66-0,Flammable,
X,pepain,scholar ,534,cd-1,1,100.0,g,9001-73-4,flammable,
,Peppermint Oil,Glass bottle,412D,15,1,15.0,mL,8006-90-4,Cuases serious eye irritation, may cause allergic skin reaction, combustible liquid,
,Peppermint Oil,Flinn Scientific,412D,15,2,15.0,mL,8006-90-4,Cuases serious eye irritation, may cause allergic skin reaction, combustible liquid,
X,pepsin ,scholar ,534,C1,5,500.0,g,73049-73-7,health,
,Petroleum ether 35/60,Alfa Aesar,412,412C,1,1.0,L,8032-32-4,Flammable,
,Phenol,Glass jar,412,412C,3,1.0,g,108-95-2,Flammable,
,Phenol Red,Fisher Scientific,412D,17,1,2.5,g,143-74-8,Causes skin irritation, may cause respiratory irritation,
,phenolphthalein ,glass bottle ,534,BA1,2,1.0,g,77-09-8,flammable, Irritant, health,
,Phthalic Acid,Baker,412D,Carboxylic Acids,1,100.0,g,88-99-3,Causes serious eye damage,
,Phthalic anhydride,Aldrich,412D,Organics,1,800.0,g,85-44-9,Acute oral toxicity, skin irritation, serious eye damage, respiratory sensitization, skin sensitization, specific target organ toxicity (single exposure: respiratory system), acute aquatic hazard,
,Phthalic anhydride,Glass bottle,412D,Organics,2,50.0,g,85-44-9,Acute oral toxicity, skin irritation, serious eye damage, respiratory sensitization, skin sensitization, specific target organ toxicity (single exposure: respiratory system), acute aquatic hazard,
X,poly(ethylene glycol),sigma aldrich ,534,cd-3,1,250.0,g,25322-68-3,nonhazardous,
,Polyvinyl Alcohol Solution,Scholar Chemistry,412D,16,1,700.0,mL,9002-89-5,,
,Potassium Bromate,Flinn Scientific Inc,412D,8,2,60.0,g,7758-012,May cause fire or explosion; strong oxidizer, toxic if swallowed, suspected of causing cancer, may cause respiratory irritation, may cause drowsiness or dizziness, may cause damage to organs through prolonged or repeated exposure,
,Potassium Bromide,Glass bottle,412D,8,1,100.0,g,7758-023,May cause serious eye irritation,
,Potassium Bromide,Scholar Chemistry,412D,8,1,100.0,g,7758-023,May cause serious eye irritation,
,Potassium Chlorate,EMD,412D,9,1,400.0,g,3811-049,Strong oxidizer, harmful if swallowed or inhaled, toxic to aquatic life with long lasting effects,
,Potassium Chlorate,Glass bottle,412D,9,6,115.0,g,3811-049,Strong oxidizer, harmful if swallowed or inhaled, toxic to aquatic life with long lasting effects,
,Potassium Chloride,Glass bottle,412D,8,3,65.0,g,7447-40-7,,
,Potassium Chloride,Alpha Azar,412D,8,1,700.0,g,7447-40-7,,
,Potassium Chromate,Carolina,412D,9,1,100.0,g,7789-00-6,Skin corrosion/irritation, serious eye damage/irritation, skin sensitization, germ cell mutagenicity, carcinogenicity, specific target organ toxicity (single exposure - respiratory system; repeated exposure - kidney, liver, blood),
,Potassium Dichromate,Carolina,412D,9,1,200.0,g,7778-50-9,Oxidizing solids, acute toxicity (oral, dermal, inhalation), chronic and acute hazards to the aquatic environment, skin corrosion, serious eye damage, respiratory and skin sensitization, germ cell mutagenicity, carcinogenicity, reproductive toxicity, specific and target organ toxicity (single and repeated exposure; respiratory system, liver, kidney, blood),
,Potassium Ferrocyanide,Carolina,412D,16,1,400.0,g,14459-95-1,Harmful to aquatic life with long lasting effects,
,Potassium Hydrogen Phthalate,Glass bottle,412D,6,12,500.0,g,877-24-7,Potential to cause eye, skin, digestive tract, and respiratory tract irritation.,
,Potassium Hydrogen Phthalate,Flinn Scientific Inc,412D,6,1,150.0,g,877-24-7,Potential to cause eye, skin, digestive tract, and respiratory tract irritation.,
,Potassium Hydrogen Tartarate,Glass bottle,412D,6,5,450.0,g,877-24-7,Potential to cause eye, skin, digestive tract, and respiratory tract irritation.,
,Potassium Hydroxide,Sigma-Aldrich,412D,6,2,750.0,g,1310-58-3,Corrosive to metals, harmful if swallowed, causes severe skin burns and eye damage, may cause respiratory irritation,
,Potassium Hydroxide,Carolina,412D,6,1,150.0,g,1310-58-3,Corrosive to metals, harmful if swallowed, causes severe skin burns and eye damage, may cause respiratory irritation,
,Potassium Hydroxide (10%) in 95% EtOH,Droplet bottle,412,412C,5,1.0,g,1310-58-3,Flammable,
,Potassium Iodate,Glass bottle,412D,12,6,210.0,g,7681-11-0,Causes damage to organs (thyroid gland) through prolonged or repeated exposure (if swallowed),
,Potassium Iodide,Supple Co,412D,12,1,500.0,g,7681-11-0,Causes damage to organs (thyroid gland) through prolonged or repeated exposure (if swallowed),
,Potassium Iodide,Sigma Aldrich,412D,12,2,1000.0,g,7681-11-0,Causes damage to organs (thyroid gland) through prolonged or repeated exposure (if swallowed),
X,potassium iodide,vwr,534,cg-3,1,500.0,g,7681-11-0,health,
,Potassium Nitrate,Glass bottle,412D,10,2,80.0,g,7757-79-1,Oxidizer, causes skin irritation, causes serious eye irritation, may cause respiratory irritation,
,Potassium Nitrate,Sigma Aldrich,412D,10,1,500.0,g,7757-79-1,Oxidizer, causes skin irritation, causes serious eye irritation, may cause respiratory irritation,
,Potassium Nitrate,Sigma Aldrich,412D,10,1,500.0,g,7757-79-1,Oxidizer, causes skin irritation, causes serious eye irritation, may cause respiratory irritation,
,Potassium Permanganate,Glass bottle,412D,12,3,35.0,g,7722-64-7,Oxidizing solids, acute toxicity (oral, dermal, inhalation), chronic and acute hazards to the aquatic environment, skin corrosion, serious eye damage,
,Potassium Permanganate,Acros ,412D,12,1,300.0,g,7722-64-7,Oxidizing solids, acute toxicity (oral, dermal, inhalation), chronic and acute hazards to the aquatic environment, skin corrosion, serious eye damage,
,Potassium Permanganate,Flinn Scientific,412D,12,2,800.0,mL,7722-64-7,Oxidizing solids, acute toxicity (oral, dermal, inhalation), chronic and acute hazards to the aquatic environment, skin corrosion, serious eye damage,
,Potassium Permanganate 0.04 M,Glass bottle,412D,12,2,1300.0,mL,7722-64-7,Oxidizing solids, acute toxicity (oral, dermal, inhalation), chronic and acute hazards to the aquatic environment, skin corrosion, serious eye damage,
,Potassium Permanganate 0.1M,Glass bottle,412D,12,1,80.0,mL,7722-64-7,Oxidizing solids, acute toxicity (oral, dermal, inhalation), chronic and acute hazards to the aquatic environment, skin corrosion, serious eye damage,
,Potassium Phosphate,Flinn Scientific Inc,412D,3,2,600.0,g,7778-77-0,Skin and eye irritant,
X,potassium phosphate dibasic acs reagent ,sigma aldrich ,534,cg-3,1,500.0,g,7758 11 4,nonhazardous,
X,potassium phosphate monobasic anhydrous ,sigma aldrich ,534,cg-3,1,0.5,kg,7778-77-0,nonhazardous,
,Potassium Phthalate Monobasic,Sigma-Aldrich,412D,6,1,1.0,kg,877-24-7,,
,Potassium Sulfate,Glass bottle,412D,7,2,100.0,g,7778-80-5,,
,Potassium Sulfate,Carolina,412D,7,1,250.0,g,7778-80-5,,
,Potassium Thiocyanate,Scholar Chemistry,412D,16,1,400.0,g,333-20-0,Acute toxicity (oral, inhalation, dermal), serious eye damage, short- and long-term aquatic hazard,
X,potato starch,Carolina ,534,C1,1,25.0,g,9005-25-8,nonhazardous,
,Propylene Glycol,ScholAR Chemistry,412,412C,1,500.0,ml,57-55-6,Flammable,
X,protosol ,Carolina ,534,cs-3-2,1,30.0,ml,,nonhazardous,
,Pyridine,Flinn Scientific,412,412C,2,100.0,ml,110-86-1,Flammable,
X,R-2 a broth ,hi media laboratories ,534,C1,1,500.0,g,,nonhazardous,
X,r2a agar,becton dickinson ,534,C1,3,1500.0,g,,nonhazardous,
,Reagent Alcohol,Sigma-Aldrich,412,412C,1,1.0,g,64-17-5; 67-63-0; 67-56-1,Flammable,
X,refined motor oil ,wards,534,C-2,4,400.0,g,8020-83-5,health, flammable,
,Resorcinol,Scholar Chemistry,412D,Organics,2,100.0,g,108-46-3,Acute oral toxicity, skin irritation, serious eye damage, skin sensitization, specific target organ toxicity (single exposure: oral, central nervous system, blood, respiratory system), short- and long-term aquatic hazard,
,Resorcinol,Glass bottle,412D,Organics,12,200.0,g,108-46-3,Acute oral toxicity, skin irritation, serious eye damage, skin sensitization, specific target organ toxicity (single exposure: oral, central nervous system, blood, respiratory system), short- and long-term aquatic hazard,
,Rhodizonic Acid Disodium Salt,Acros Organic,412D,Carboxylic Acids,1,20.0,g,523-21-7,,
X,sabouraud 4% glucose agar ,fluka ,534,C1,1,250.0,g,50-99-7, 9002-18-0,nonhazardous,
,safranin ,plastic bottle ,534,lab benches,6,1.0,g,plastic bottle,eye irritant,
,Salicylamide,Alfa Aesar,412D,Organics,1,125.0,g,65-45-2,Acute oral toxicity, skin and eye irritation, specific target organ toxicity (single exposure: respiratory system),
,Salicylic Acid,Glass Bottle,412D,16,1,50.0,g,69-72-7,Acute oral toxicity, serious eye damage, reproductive toxicity,
,Salicylic Acid,Flinn Scientific,412D,Carboxylic Acids,1,350.0,g,69-72-7,Acute oral toxicity, serious eye damage, reproductive toxicity,
,Salicylic Acid,Glass bottle,412D,Carboxylic Acids,2,50.0,g,69-72-7,Acute oral toxicity, serious eye damage, reproductive toxicity,
X,sand ,wards,534,C1,1,5.0,kg,14808-60-7,health, flammable, reactive,
X,sand ,scholar ,534,C-2,2,100.0,g,14808-60-7,health,
,Sebacic Acid,Aldrich,412D,Carboxylic Acids,1,220.0,g,111-206,,
,select peptone 140,life technologies GIBCO BRL,534,C1,1,250.0,g,,,
X,seleno-DL-cystine ,sigma aldrich ,534,cd-1,1,25.0,mg,2897-21-4,toxic, aquatic hazard,
X,seleno-l-methionine,sigma aldrich ,534,cd-1,1,100.0,mg,3211-76-5,toxic, aquatic hazard,
X,sephadex g-50,sigma aldrich ,534,cs-3-2,2,50.0,g,9048-71-9,nonhazardous,
X,sephadex g-75,sigma aldrich ,534,cs-3-2,1,100.0,g,37224-29-6,nonhazardous,
X,sepharose 4B,sigma aldrich ,534,fridge 4,1,100.0,ml,9012-36-6,flammable, irritant, aquatic hazard,
,Silica Gel,Flinn Scientific Inc,412D,1,1,450.0,g,112926-00-8,Skin and eye irritant,
,Silica Gel Sorbent ,Fisher Chemical,412D,1,1,800.0,g,112926-00-8,Skin and eye irritant,
,Silicon Dioxide (Sand),Glass Bottle,412D,16,1,250.0,g,7631-86-9,,
,Silicone Oil,Acros Organic,412D,15,1,30.0,mL,63148-62-9,Extremely flammable aerosol, may cause drowsiness or dizziness, toxic to aquatic life with long lasting effects,
,Silver Nitrate,Carolina,412D,10,3,30.0,g,7761-88-8,Causes skin irritation, causes severe skin burns and eye damage, toxic to aquatic life with long lasting effects,
,Sodium Acetate,Scholar Chemistry,412D,8,1,400.0,g,127-09-3,Causes mild skin irritation, causes eye irritation, may be harmful if inhaled,
,Sodium Acetate,Fisher Chemicals,412D,8,1,200.0,g,127-09-3,Causes mild skin irritation, causes eye irritation, may be harmful if inhaled,
X,sodium acetate,sigma-aldrich,534,cd-2,1,1.0,kg,127 09 3,nonhazardous,
,Sodium Bicarbonate,Glass bottle,412D,5,8,350.0,g,144-55-8,,
,Sodium Bicarbonate,Carolina,412D,4,3,3.4,kg,144-55-8,,
,Sodium Bicarbonate,Ward's Science,412D,4,1,40.0,g,144-55-8,,
,Sodium Bicarbonate-Sodium Carbonate Mixture,Glass bottle,412D,4,1,100.0,g,-,Acute oral toxicity, skin corrosion or irritation, can cause serious eye damage or irritation,
,Sodium Bisulfate,Scholar Chemistry,412D,7,1,400.0,g,7681-38-1,Causes serious eye damage,
,Sodium Bromide,Glass bottle,412D,8,11,255.0,g,7647-15-6,,
,Sodium Bromide,Scholar Chemistry,412D,8,1,500.0,g,7647-15-6,,
,Sodium Carbonate,Flinn Scientific Inc,412D,4,1,450.0,g,497-19-8,Acute oral toxicity, skin corrosion or irritation, can cause serious eye damage or irritation,
,Sodium Carbonate,Glass bottle,412D,4,3,125.0,g,497-19-8,Acute oral toxicity, skin corrosion or irritation, can cause serious eye damage or irritation,
X,sodium carbonate anhydrous ,Mallinckrodt,534,cg-3,1,200.0,g,497-19 8,health,
,sodium carbonate anhydrous ,plastic bottle ,534,cg-3,1,1.0,g,497-19 8,health,
X,sodium carbonate monohydrate ,sigma aldrich ,534,cg-3,1,2.5,kg,5968 11 6,irritant,
,Sodium Chloride,Glass bottle,412D,8,9,500.0,g,7647-14-5,,
,Sodium Chloride,Sigma-Aldrich,412D,8,2,625.0,g,7647-14-5,,
X,sodium chloride ,Sargent welch ,534,cg-1,1,500.0,g,7647-14-5,health,
,sodium chloride ,plastic bottle ,534,cg-2,1,1.0,g,,,
,Sodium Hydroxide,Glass bottle,412D,6,5,175.0,g,1310-73-2,Corrosive to metals, causes severe skin burns, causes serious eye damage,
,Sodium Hydroxide,Sigma-Aldrich,412D,6,1,700.0,g,1310-73-2,Corrosive to metals, causes severe skin burns, causes serious eye damage,
,Sodium Hypoclorite Solution,Flinn Scientific Inc,412D,8,1,1.0,L,7681-52-9,Corrosive to metals, skin corrosion, serious eye damage, short- and long-term aquatic hazard,
,Sodium Iodide,BDH,412D,12,1,100.0,g,7681-82-5,Causes skin irritation, causes serious eye irritation, causes damage to organs through prolonged or repeated exposure,
,Sodium Iodide in Acetone,Glass jar,412,412C,1,1.0,g,,Flammable,
,Sodium Nitrate,Glass bottle,412D,10,3,30.0,g,7631-99-4,Oxidizer, causes serious eye irritation,
,Sodium Nitrate,Flinn Scientific,412D,10,1,400.0,g,7631-99-4,Oxidizer, causes serious eye irritation,
,Sodium Nitrite,Glass bottle,412D,10,1,15.0,g,7632-00-0,Oxidizing solids, acute oral toxicity, eye irritation, acute aquatic hazard,
,Sodium Nitrite,Carolina,412D,10,1,50.0,g,7632-00-0,Oxidizing solids, acute oral toxicity, eye irritation, acute aquatic hazard,
,Sodium Phosphate,Flinn Scientific Inc,412D,3,2,650.0,g,7601-54-9,Skin and eye irritant,
,Sodium Phosphate,Scholar Chemistry,412D,3,1,250.0,g,7601-54-9,Skin and eye irritant,
X,sodium phosphate ,sigma aldrich ,534,cg-3,1,250.0,g,7601-54-9,irritant,
,Sodium Phosphate Dibasic, Anhyrous ,Scholar Chemistry,412D,3,1.0,g,g,7558-79-4,Skin and eye irritant,
X,sodium phosphate dibasic anhydrous ,sigma aldrich ,534,cg-3,1,250.0,g,7558-79-4,irritant,
X,sodium phosphate dibasic anhydrous ,fisher ,534,cg-3,1,400.0,g,7558-79-4,health,
,Sodium Phosphate Dibasic Heptahydrate,Acros Organics,412D,3,1,250.0,g,7782-85-6,Skin and eye irritant,
,Sodium Phosphate Monobasic Monohydrate,Acros Organics,412D,3,1,400.0,g,7558-80-7,Skin and eye irritant,
,Sodium Sulfate,Glass bottle,412D,7,2,100.0,g,7757-82-6,May be harmful in contact with skin,
X,sodium sulfate anhydrous ,sigma aldrich ,534,cg-1,1,200.0,g,7757-82-6,nonhazardous,
,Sodium Sulfide,Spectrum,412D,7,1,200.0,g,1313-82-2,May form combustible dust concentrations in air, may be corrosive to metals, causes severe skin burns and eye damage, toxic if swallowed or in contact with skin,
,Sodium Sulfide Nonahydrate,Sigma-Aldrich,412D,7,1,100.0,g,1313-84-4,Causes severe skin burns and eye damage, toxic in contact with skin, harmful if swallowed, very toxic to aquatic life with long lasting effects,
,Sodium Sulfite,Glass bottle,412D,7,1,50.0,g,7757-83-7,Skin irritation, serious eye damage,
,Sodium Sulfite, anhydrous,Acros ,412D,8,1.0,g,kg,7757-83-7,,
,Sodium Thiosulfate Pentahydrate,Fisher Chemical,412D,8,1,1.5,kg,10102-17-7,,
,Sodium Thiosulfate Pentahydrate,Flinn Scientific,412D,8,1,150.0,g,10102-17-7,,
,Sodium Thiosulfate Pentahydrate,Glass bottle,412D,8,1,75.0,g,10102-17-7,,
X,SSC buffer ,sigma aldrich ,534,cs-3-2,1,1.0,L,,nonhazardous,
,starch ,plastic bottle,534,C1,1,25.0,g,9005-25-8,nonhazardous,
,Starch-extra-pure-potato-powder,Acros Organics,412D,2,1,1.5,kg,9005-25-8,,
,Stearic Acid,Glass bottle,412D,Carboxylic Acids,8,300.0,g,57-11-4,Irritant,
,Stearic Acid,Flinn Scientific,412D,Carboxylic Acids,1,250.0,g,57-11-4,Irritant,
,Stronium Nitrate,Glass bottle,412D,10,4,40.0,g,10042-76-9,Strong oxidizer, causes serious eye damage,
,Strontium Chloride,Alpha Azar,412D,8,1,400.0,g,10476-85-4,Causes serious eye damage, may cause respiratory irritation,
,Strontium Chloride X-Hydrate,Glass bottle,412D,8,1,100.0,g,10476-85-4,Causes serious eye damage, may cause respiratory irritation,
,Succinic Acid,Flinn Scientific,412D,Carboxylic Acids,1,100.0,g,110-15-6,Serious eye damage,
,Sucrose,Glass bottle,412D,2,2,300.0,g,57-50-1,,
,Sucrose,Sigma-Aldrich,412D,Floor,1,5.0,kg,57-50-1,,
,Sucrose,EMD,412D,Floor,1,200.0,g,57-50-1,,
,Sucrose,Ward's Science,412D,Floor,1,1.9,kg,57-50-1,,
,Sucrose,Carolina,412D,Floor,1,1.9,kg,57-50-1,,
X,sucrose ,sigma aldrich ,534,C1,1,1.0,kg,57-50-1,nonhazardous,
,sucrose ,plastic bag ,534,C1,1,1.0,g,57-50-1,nonhazardous,
,Sucrose (packet),Carolina,412D,2,3,15.0,g,57-50-1,,
,Sulfuryl Chloride,Sigma-Aldrich,412D,Organics,1,25.0,ml,7791-25-5,Acute inhalation toxicity, skin corrosion, serious eye damage, specific target organ toxicity (single exposure: respiratory system),
,t-Butanol,Droplet bottle,412,412C,2,1.0,g,75-65-0,Flammable,
X,TAE buffer 20x,Carolina ,534,cs-3-2,1,150.0,g,,irritant, aquatic hazards,
,Tannic Acid,Scholar Chemistry,412D,Carboxylic Acids,1,100.0,g,1401-55-4,,
,Tannic Acid,Glass bottle,412D,Carboxylic Acids,1,50.0,g,1401-55-4,,
X,TE buffer ph8 10x,American bioanalytical ,534,cs-3-2,1,0.5,L,,Non classified,
,Tert-Butyl Alcohol,EMD Millipore Corporation,412,412C,1,0.78,kg,75-65-0,Flammable,
,tert-Butyl Chloride,Flinn Scientific,412,412C,1,25.0,ml,507-20-0,Flammable,
,Tetraethylenepentamine,TCL,412D,Organics,1,25.0,g,112-57-2,Harmful if swallowed or in contact with skin, causes severe skin burns and eye damage, may cause an allergic skin reaction, chronic aquatic hazard,
,Thymol Blue, ACS,Alfa Aesar,412D,17,1.0,g,g,76-61-9,May form combustible dust concentrations in the air,
,Thymol Blue, Sodium Salt,Fisher Science,412D,17,1.0,g,g,62625-21-2,May form combustible dust concentrations in the air,
,Toluene,BDH ,412,412C,1,4.0,L,108-88-3,Flammable,
X,trans-4-hydroxine-l-proline ,sigma aldrich ,534,cd-1,1,1.0,g,51-35-4,aquatic toxin,
,Trans-stilbene,Sigma-Aldrich,412D,Organics,1,20.0,g,103-30-0,Acute oral toxicity, serious eye damage/eye irriation, chronic aquatic hazard,
,Triethanolamine,Scholar Chemistry,412D,16,2,200.0,mL,,,
,Triethanolamine,Glass bottle,412D,16,9,450.0,mL,,,
X,triketo-hydrindene hydrate,fisher ,534,C-2,1,10.0,g,485-47-2,health, corrosive,
X,trizma hydrochloride ,sigma aldrich ,534,cd-2,1,1.0,kg,1185-53-1,irritant,
,Trizmabase,Sigma,412D,Organics,1,500.0,g,77-86-1,,
X,trypan blue solution 0.4% ,sigma aldrich ,534,cs-3-2,1,100.0,ml,,toxic,
X,tryptic soy agar,sigma aldrich ,534,C1,1,500.0,g,,nonhazardous,
,tryptone ,plastic bottle,534,C1,1,1.0,g,73049-73-7,may form combustible dust,
X,tryptose phosphate broth ,sigma aldrich ,534,C1,1,500.0,g,,nonhazardous,
,tums ,,534,C1,1,1.0,g,,,
,Tween 20,Sigma Life Science,412D,16,1,700.0,mL,9005-64-5,,
X,ultra-spec-agarose ,edvotek,534,cd-1,1,25.0,g,9023-36-6,nonhazardous,
,universal indicator ,glass droppers ,534,cs-3-2,2,1.0,g,glass dropper,flammable,
,Unknown (50% NaCl 40% Sand 10% Napthalene),MassBay,412,412C,2,1.0,g,,Flammable,
,unlabeled dropper ,dropper bottle ,534,lab benches,1,1.0,g,,,
,unlabeled jar ,jar,534,cs-3-2,1,1.0,g,,,
X,uracil,sigma aldrich ,534,cd-1,1,25.0,g,66-22-8,nonhazardous,
,uracil ,glass bottle ,534,cd-1,1,25.0,g,66-22-8,nonhazardous,
,Urea,Ward's Science,412D,Organics,1,300.0,g,57-13-6,,
,Urea,Sigma Aldrich,412D,Organics,1,100.0,g,57-13-6,,
,Urea,Glass bottle,412D,Organics,2,10.0,g,57-13-6,,
,Urethane,Sigma Aldrich,412D,Organics,1,75.0,g,51-79-6,Acute oral toxicity, carcinogenicity,
,Vanillin,Glass bottle,412D,Organics,1,5.0,g,121-33-5,Eye irritant, acute aquatic hazard,
,Vanillin Ethanol Solution,TCI,412,412C,1,500.0,ml,121-33-5,Flammable,
,Vanillin Spray Reagent,Glass jar,412,412C,1,1.0,g,,Flammable,
,various mixed metals ,glass bottle ,534,cv-1,1,1.0,g,,,
,vitamin C,health essentials ,534,C-2,1,500.0,mg,,,,
X,Voges Proskauer A,becton dickinson ,534,C-2,20,0.5,g,90-15-3; 64-17-5,flammable, corrosive,
X,Voges Proskauer A reagent droppers (unopened),becton dickinson ,534,C-2,2,100.0,g,90-15-3; 64-17-5,flammable, corrosive,
X,Voges Proskauer B,becton dickinson ,534,C-2,40,0.5,g,1310-58-3,corrosive, toxic,
X,Voges Proskauer B reagent droppers (unopened),becton dickinson ,534,C-2,2,100.0,g,1310-58-3,corrosive, toxic,
,Xylene,ScholAR Chemistry,412,412C,1,500.0,ml,1330-20-7,Flammable,
,Xylene,Glass jar,412,412C,1,1.0,g,1330-20-7 ,Flammable,
X,yeast extract,sigma aldrich ,534,C1,1,250.0,g,8013 01 2,nonhazardous,
X,yeast nitrogen base ,becton dickinson ,534,C1,1,50.0,g,,harmful,
,zinc,glass bottle ,534,cv-1,1,1.0,g,7440 66 6 ,may form combustible dust,
X,zinc ,fisher ,534,BA1,1,250.0,g,7440-66-6,health, flammable, reactive,
,Zinc Chloride,Sigma-Aldrich,412D,8,1,250.0,g,7646-85-7,Acute oral toxicity, skin corrosion, serious eye damage, specific target organ toxicity (respiratory system), short- and long-term aquatic hazard,
,Zinc Nitrate Hexahydrate,Sigma Aldrich,412D,10,3,300.0,g,10196-18-6,Oxidizing solids, acute toxicity (oral), skin corrosion/irritation, serious eye damage/irritation, respiratory system toxicity (single exposure),
